'MAY4','DowJones','S&P500','Nasdaq','SmallCap2000','S&P500VIX','S&P/TSX','Bovespa','S&P/BMVIPC','DAX','FTSE100','CAC40','EuroStoxx50','AEX','IBEX35','FTSEMIB','SMI','PSI20','BEL20','ATX','OMXS30','OMXC25','MOEX','RTSI','WIG20','BudapestSE','BIST100','TA35','TadawulAllShare','Nikkei225','S&P/ASX200','DJNewZealand','Shanghai','SZSEComponent','ChinaA50','DJShanghai','HangSeng','TaiwanWeighted','SET','KOSPI','IDXComposite','BSESensex','PSEiComposite','Karachi100','HNX30','Nifty50',Nifty50
0,0.55,1.06,1.77,0.61,-6.81,0.65,0.05,1.06,1.7,1.0,1.29,1.6,1.5,0.59,0.88,0.97,1.15,0.64,0.53,1.76,1.91,0.04,0.37,0.76,-1.66,-0.67,1.65,-0.32,0.52,-0.02,0.65,-0.47,-0.73,-1.39,-0.56,-0.15,0.97,0.23,-0.24,-0.15,-0.68,-0.28,-0.24,0.37,-0.83,0.55
0,0.36,-0.08,-0.48,0.49,-2.52,-0.08,-0.09,-0.26,0.44,-0.02,0.68,0.65,0.41,0.87,1.1,0.66,-0.16,0.35,0.79,0.03,1.13,0.67,0.69,0.37,0.29,0.14,0.84,0.04,0.42,0.11,-0.41,0.1,-0.52,0.04,0.09,-0.41,-0.01,0.4,-0.2,0.18,1.97,-0.61,0.75,0.96,1.81,0.2
0,0.54,0.99,1.41,0.68,-8.68,-0.08,1.17,-0.64,0.44,0.48,0.35,0.65,0.5,0.02,-0.34,0.66,-0.95,0.27,0.79,0.19,1.13,0.06,0.09,-0.23,0.29,0.02,0.14,-0.25,0.63,0.51,-0.78,1.54,1.35,3.09,1.72,1.2,1.63,0.0,0.8,1.06,0.22,0.16,0.4,1.45,0.15,0.6
0,-0.24,-0.21,-0.03,-0.61,2.39,0.19,-0.84,-1.28,0.18,-0.31,-0.28,0.01,0.25,0.03,0.01,0.71,-0.2,-0.12,-0.02,-0.08,0.34,0.66,0.62,0.92,-1.36,-3.58,-0.12,1.25,0.23,0.11,-0.15,0.27,0.0,0.24,0.37,0.71,-0.07,1.08,0.05,0.91,-0.03,2.06,0.44,1.45,0.07,0.3
0,0.03,0.19,0.59,1.89,-7.86,0.93,0.81,0.57,-0.09,-0.04,0.02,-0.11,-0.15,-0.13,-0.46,0.38,0.18,-0.13,-0.13,-0.72,-0.08,0.66,0.63,0.52,-1.36,1.92,0.64,0.23,-0.6,0.21,-1.12,0.36,1.09,0.42,0.27,0.02,-0.89,0.25,-0.59,1.38,0.75,2.43,1.11,0.51,0.61,0.15
0,0.41,0.12,-0.01,1.07,-3.57,0.15,0.3,1.07,-0.28,-0.1,0.69,0.19,-0.4,-0.12,1.12,-0.07,0.55,-0.1,0.42,0.78,-1.07,0.74,0.82,1.97,-1.24,-0.84,0.21,0.46,2.14,1.16,-0.08,0.02,0.32,-0.07,0.06,0.63,1.45,0.66,0.74,0.35,0.19,-0.4,-0.05,0.51,0.24,0.55
0,0.19,0.08,0.09,-0.21,0.12,0.39,0.96,0.83,0.74,0.04,0.75,0.78,0.7,0.42,0.45,0.76,-0.13,0.72,0.33,0.49,1.32,-0.22,0.01,1.31,0.94,0.5,0.13,0.27,-0.8,-0.05,1.09,-0.21,0.3,-1.3,-0.34,-0.26,1.24,0.0,0.03,0.5,0.6,-0.54,0.72,3.25,0.64,0
0,0.19,-0.0,0.09,-0.44,0.12,-0.61,0.52,1.69,-0.64,0.04,-0.57,-0.76,-0.55,-0.82,0.0,-0.55,-1.19,-0.65,-0.94,-0.6,-0.71,-0.24,-0.39,-0.13,0.3,-0.11,-0.7,0.03,-0.41,-0.33,0.24,-0.35,-0.63,-0.92,-0.51,0.33,0.15,0.54,0.41,1.69,1.0,-0.5,1.63,3.67,0.95,0.3
0,0.07,0.14,0.14,0.13,-2.35,-0.02,1.04,0.05,0.23,0.39,0.5,0.41,0.42,-0.1,0.23,0.31,-1.08,-0.17,0.47,0.19,-1.15,1.41,1.82,0.85,0.08,-0.09,0.59,0.56,0.18,0.36,0.23,0.43,0.09,0.31,0.4,-0.11,0.34,-0.06,0.81,-0.03,-0.16,-0.87,-0.13,1.47,0.01,0.5
0,-0.07,-0.36,-1.03,-0.74,3.2,-0.15,1.04,-0.24,0.19,-0.61,-0.21,-0.23,-0.26,-0.42,0.29,0.35,-0.76,-0.4,0.49,0.2,0.09,-0.32,-0.44,0.85,0.08,-0.18,-0.64,0.39,-0.51,0.28,0.21,-0.11,0.76,0.11,-0.06,-0.2,-0.68,-0.17,-0.45,-0.18,0.74,0.12,-0.07,1.47,0.73,0.15
0,0.52,0.88,1.47,0.37,-8.98,0.44,0.4,-0.29,0.39,0.07,0.12,0.25,0.43,-0.59,0.46,0.52,0.31,0.29,0.01,-0.08,0.66,0.05,0.64,0.1,1.81,0.34,-0.05,-0.12,0.29,-0.1,0.03,-0.18,-0.13,-0.94,-0.31,-0.63,0.0,0.62,0.11,0.16,-0.25,-0.4,0.25,0.59,-0.13,0.25
0,-0.36,-0.08,0.49,1.44,0.0,0.03,0.5,1.87,-0.1,0.12,0.43,0.2,-0.22,0.83,0.99,0.52,0.04,0.54,0.82,-0.16,0.37,0.39,0.36,-0.35,-0.05,0.99,0.27,0.32,0.02,-0.15,0.18,-0.36,-0.4,-1.26,-0.45,-0.36,0.1,0.3,0.03,-0.75,0.44,0.12,0.19,-2.99,0.52,0.15
0,-0.09,0.02,0.31,1.12,3.96,0.15,-0.76,-1.09,-0.23,0.25,0.11,-0.04,0.11,-0.11,-0.06,0.23,-0.53,-0.05,0.1,0.32,-0.23,-0.39,0.21,-0.4,-0.05,0.04,-0.15,0.14,-0.18,-0.06,0.04,0.5,-0.24,0.44,0.39,0.33,-0.32,0.49,-0.17,0.39,-0.1,1.28,-0.32,-2.99,-0.07,0.15
0,-0.44,-0.18,-0.09,-0.7,4.8,-0.32,0.09,0.12,-0.38,-0.2,0.19,0.02,0.46,0.03,-0.26,1.13,0.02,1.03,-1.4,-0.11,0.73,0.94,1.1,-0.86,-0.7,0.11,0.03,0.51,0.32,0.27,-0.09,0.74,1.17,1.43,0.78,0.4,0.48,0.43,0.45,0.7,-0.64,-0.05,-0.77,0.31,-0.67,0.35
0,0.06,0.47,0.78,-0.65,-10.01,0.24,0.13,-0.08,-0.06,0.1,-0.26,-0.02,0.38,-0.24,-0.4,0.19,-0.17,0.44,-0.25,-0.19,-0.09,-0.41,0.16,0.83,-0.7,0.52,0.31,0.06,-0.1,0.23,0.56,-0.35,-0.35,-0.92,-0.62,0.45,0.42,0.4,0.48,-0.27,0.69,0.18,0.99,0.63,0.65,0.35
0,0.04,0.19,0.35,0.83,-2.8,0.44,-0.49,0.79,0.78,0.65,0.83,0.75,0.42,0.78,0.31,0.26,0.82,0.52,0.47,0.47,0.07,0.36,0.07,-0.55,0.76,0.29,0.79,0.94,0.62,0.13,-0.37,-0.58,0.0,-1.05,0.0,0.52,0.32,0.16,-0.06,0.07,0.33,-0.28,0.11,0.55,0.39,0.05
0,-0.25,0.18,0.74,-0.52,4.73,0.1,0.59,-0.5,-0.13,0.18,0.24,0.14,0.22,0.83,0.16,0.21,1.01,0.73,1.1,0.27,0.86,0.49,0.52,1.28,0.35,-0.45,0.02,0.15,0.77,0.74,1.06,-0.97,-0.85,-1.69,-1.33,-1.1,0.66,0.14,0.12,-0.19,0.15,-0.14,0.87,-0.25,0.08,0.35
0,-0.27,-0.2,-0.71,-0.31,3.84,0.37,-0.09,-0.24,0.36,0.36,0.35,0.26,0.12,-0.54,-0.08,0.47,0.05,0.01,-0.67,-0.2,0.39,-0.98,-1.31,-1.01,0.35,-0.8,-0.32,-0.75,-0.41,0.23,-0.69,-0.62,-1.48,-0.62,-0.7,-0.28,-0.1,0.05,0.5,0.3,0.42,-0.01,-0.19,-0.68,0.36,-0.15
0,-0.77,-0.54,-0.24,-0.12,6.64,-0.04,-0.64,-0.65,-0.12,0.17,0.2,0.2,0.35,-0.31,0.12,0.5,0.46,0.12,-0.09,0.28,0.92,0.19,0.82,-0.23,-1.57,-0.78,0.14,0.23,-1.15,-0.05,-0.15,0.2,0.67,0.26,0.33,0.15,-0.32,-0.25,-0.48,-0.19,-0.51,-1.19,-0.31,-0.52,-0.64,-0.75
0,-0.62,-0.04,0.87,-1.05,-2.2,-0.43,-0.93,-0.74,0.11,-0.44,0.21,0.15,0.19,-0.07,-0.21,0.24,-0.83,-0.52,-0.51,-0.59,-0.85,-0.28,-0.87,-0.62,-1.57,-1.2,-0.86,-0.03,0.27,0.31,0.61,-0.33,0.07,-1.3,-0.41,0.77,-0.06,0.25,0.19,-0.73,-0.34,-0.45,-0.72,1.02,-0.48,0.4
0,-1.58,-1.31,-0.92,-2.05,16.62,-0.72,0.27,0.23,-1.78,-1.9,-1.46,-1.8,-2.08,-1.8,-1.93,-0.58,-2.28,-1.58,-2.11,-1.09,-0.57,-0.42,-1.06,0.41,-1.39,-1.63,-0.97,-0.57,-4.06,-1.78,-0.63,-0.25,0.67,-0.71,-0.41,-1.29,-1.32,-0.83,-1.18,-1.31,0.0,-0.72,0.17,0.24,-0.05,-1
0,1.76,1.4,0.79,2.13,-13.57,0.78,0.67,-0.01,1.0,0.64,0.51,0.71,0.58,0.23,0.71,0.46,0.75,0.41,0.44,0.79,0.44,0.28,-0.26,-0.06,-1.39,0.54,0.46,0.63,3.06,1.54,0.11,0.64,0.08,0.54,0.64,-0.01,0.53,0.71,0.67,0.99,0.44,0.53,-0.47,0.42,0.4,0.6
0,0.2,0.51,0.79,0.41,-6.88,0.22,-0.38,-0.37,0.21,0.39,0.14,0.26,0.67,0.02,-0.32,-0.11,-0.52,0.03,0.13,0.09,0.19,0.22,0.19,0.05,-0.39,0.81,0.27,0.3,0.04,-0.36,0.23,0.32,0.9,0.4,0.39,1.48,1.24,0.41,0.39,0.2,0.03,0.36,-0.05,0.61,0.17,0.55
0,-0.21,-0.11,0.13,0.34,-2.04,-0.18,-0.26,0.08,-1.15,-0.22,-0.91,-1.14,-0.49,-1.1,-0.94,-0.7,-0.71,-1.04,-0.57,-1.14,-0.76,0.4,1.25,0.59,-0.39,-0.53,0.24,0.02,0.0,-0.3,-0.37,-0.11,-0.46,0.01,-0.01,0.03,0.47,-0.23,0.35,-0.21,-0.54,-0.09,-0.18,0.23,-0.54,0.3
0,0.95,0.58,0.69,1.23,-2.14,0.25,0.85,0.77,0.86,0.51,1.22,1.14,1.06,1.34,1.38,0.8,0.76,0.9,1.08,1.28,1.06,-0.36,-0.08,1.76,-0.03,0.6,-0.14,0.23,0.81,0.64,-0.01,0.48,0.67,1.16,0.52,1.06,0.89,0.43,0.69,0.55,0.75,0.38,0.13,0.09,0.66,0.3
0,0.69,0.33,-0.06,0.3,-2.19,0.07,-1.74,-0.02,0.12,0.37,-0.13,-0.04,0.06,0.23,0.35,0.05,0.19,0.73,0.3,1.28,0.1,0.22,0.43,0.41,-0.31,-1.34,0.06,0.43,-0.12,-0.06,-0.28,-0.05,1.01,-0.33,-0.22,0.01,0.43,-0.98,-0.09,-0.61,0.43,-0.46,-0.75,1.1,0.44,0.35
0,-0.44,0.23,0.98,-0.47,0.9,-0.42,0.14,-0.39,-0.34,-0.88,-0.98,-0.75,-0.31,-1.99,-1.11,0.08,-0.01,-0.61,-1.17,-0.64,0.49,-0.16,-0.14,0.15,-0.33,-1.34,0.12,-0.09,-0.88,-0.62,0.13,-0.77,-0.63,-1.47,-0.79,-0.72,0.11,0.44,-0.34,0.71,-0.36,-0.15,-1.26,0.6,-0.29,0
0,0.61,0.21,-0.17,0.15,-1.19,-0.03,-0.41,-0.09,-1.02,-0.71,-0.91,-1.05,-0.64,-1.05,-1.01,-0.71,-0.95,-0.78,-1.42,-0.73,-0.44,1.35,0.84,-1.76,-1.09,-1.12,-0.3,-0.11,-0.59,-0.36,-0.04,-0.23,-0.49,-0.65,-0.2,-0.53,0.44,0.29,-0.51,0.68,-0.13,1.13,0.46,-0.22,-0.17,0.2
0,0.44,0.75,0.81,-0.89,-2.65,0.3,1.56,-0.31,0.3,-0.03,-0.02,0.13,0.3,-0.28,-0.01,-0.1,0.77,0.11,0.03,0.66,-0.28,0.18,0.19,0.07,-0.81,0.28,0.07,0.48,-0.51,0.08,0.39,0.16,0.11,-0.34,-0.06,0.03,1.14,0.18,0.36,-0.07,0.32,0.36,-0.24,0.24,0.27,0.45
0,0.44,0.75,0.81,-0.07,-2.65,0.27,-0.55,0.66,0.08,0.58,0.22,0.07,0.06,0.44,0.63,0.02,0.32,0.07,0.43,0.44,0.15,0.44,0.29,0.29,-0.2,1.16,-0.08,-0.28,0.34,-0.22,-0.91,-0.69,-0.51,-0.84,-0.57,-0.71,0.23,0.52,0.4,0.5,0.75,0.08,-0.54,0.46,0.71,-0.1
0,-0.6,-0.2,0.17,-1.21,9.09,0.09,-1.44,-1.0,-0.96,-0.89,-0.91,-0.85,-0.34,-0.96,-0.84,-0.02,-0.16,-0.35,-1.42,-0.45,0.85,0.04,-1.18,-1.34,-0.2,-0.72,-0.34,-0.27,-0.93,0.86,0.64,0.49,0.91,0.14,0.57,-0.7,-0.05,-0.38,-0.53,-0.03,-0.04,-0.73,-0.17,1.23,-0.1,0
0,0.3,0.34,0.01,-0.7,-1.46,-0.05,1.54,0.01,1.17,0.71,0.31,0.64,0.84,-0.07,0.23,1.01,0.63,0.44,0.02,1.63,1.23,0.28,-0.22,2.57,-0.04,0.58,0.54,-0.12,-0.7,0.05,-0.21,-0.48,0.04,-1.26,-0.61,-1.83,-0.32,-0.8,-0.66,0.48,0.37,-0.07,-0.21,-0.73,0.39,0.15
0,-0.75,-0.86,-0.72,-1.34,17.28,-1.13,-1.25,-0.96,-1.73,-1.68,-2.01,-2.13,-1.97,-2.31,-2.55,-1.33,-0.74,-1.41,-1.49,-1.55,-1.16,-0.87,-0.84,-2.24,-0.04,-1.27,-1.95,-1.22,-1.73,-1.32,-1.32,-0.48,-0.99,-0.8,-0.38,0.66,-1.15,-0.36,-1.61,-0.02,-0.92,-2.17,1.7,0.03,-0.96,-0.25
0,1.3,1.13,0.98,2.06,-14.84,0.98,-1.25,0.4,1.73,1.3,2.07,1.91,1.25,1.46,1.67,0.55,0.46,1.58,1.44,1.29,-0.32,-0.15,0.45,0.77,1.49,0.39,1.5,-1.26,2.31,0.75,0.41,0.99,2.07,1.49,1.27,0.66,1.08,0.54,0.92,0.71,-0.35,0.48,-1.02,-2.26,-0.24,0.5
0,0.36,0.35,0.21,0.05,-0.06,-0.12,1.73,0.04,0.65,0.05,0.46,0.62,0.86,0.46,0.92,0.77,0.89,0.64,0.09,0.78,1.4,0.53,0.32,0.16,-0.73,-1.55,-0.16,0.1,0.72,0.26,0.11,0.27,0.19,0.26,0.25,1.8,0.72,0.59,0.74,-0.06,-0.03,-1.3,-0.24,-0.16,0.02,0.65
0,-0.31,-0.35,-0.38,-1.8,5.88,0.19,0.45,-1.03,-0.01,-0.01,-0.01,0.03,0.6,-1.38,-0.5,-0.09,-0.44,0.04,-0.2,0.49,0.01,0.04,0.53,0.39,-0.73,-0.75,-0.27,0.35,-0.33,0.12,-0.3,-0.94,-0.82,-1.46,-1.11,-0.53,-0.08,0.01,-0.26,-0.14,0.76,0.09,0.07,-0.65,0.76,0
0,0.13,0.12,-0.22,-1.6,-4.61,-0.61,0.19,0.33,0.01,-0.47,0.0,0.12,0.28,-0.42,0.15,-0.23,-0.57,-0.52,0.2,0.3,-0.2,-1.14,-1.4,0.19,-0.86,1.52,-0.21,0.39,-1.0,-0.15,-0.67,0.27,-0.66,1.4,0.46,1.48,0.36,0.16,0.3,0.63,0.25,-0.9,0.02,0.39,0.26,0.1
0,0.15,-0.33,-0.7,-0.65,4.16,0.18,-0.73,1.7,-1.01,-1.12,-0.99,-1.05,-0.74,-1.52,-1.27,-0.55,-1.08,-0.96,-0.78,-0.5,-1.28,-0.86,-0.84,-0.36,-0.86,1.52,-0.85,0.15,-0.95,-0.06,0.2,-0.28,-0.32,-0.97,-0.27,-0.25,-0.78,-0.18,-0.66,0.31,0.48,0.55,0.29,0.93,0.44,0.2
0,-0.86,-0.75,-0.8,-1.34,8.47,-0.98,-1.18,-0.25,-0.57,-0.06,-0.51,-0.51,-0.39,-0.24,-0.33,0.42,-1.58,0.13,-0.53,-0.24,-0.06,-0.78,-0.56,-0.11,0.68,-0.29,-0.85,0.15,-1.26,-0.81,0.04,-0.34,-0.58,-1.1,-0.38,-2.08,-0.76,-1.09,-1.05,-0.54,-0.04,-1.85,0.43,-2.95,-0.01,-1
0,-2.09,-1.58,-1.06,-1.82,21.95,-1.3,-1.24,-2.1,-2.62,-2.34,-2.54,-2.66,-2.1,-2.4,-3.34,-1.37,-2.7,-1.68,-2.12,-2.2,-0.98,-2.04,-2.73,-2.31,-1.53,-0.86,-2.69,0.15,-0.41,-0.11,0.18,-0.53,-0.6,-0.8,-0.51,-0.62,-0.89,-0.38,-0.42,-0.91,-1.1,-1.59,0.08,0.06,-1.07,-0.3
0,0.83,0.82,0.92,1.74,-9.22,0.84,0.42,1.58,1.36,1.7,1.85,1.78,1.62,2.5,2.36,0.64,1.78,1.96,1.14,1.34,1.71,0.5,1.2,0.93,0.55,-0.86,1.54,0.15,0.58,0.97,0.05,0.33,-0.11,0.23,0.31,1.9,0.46,0.81,1.04,1.32,0.0,1.47,0.0,0.44,0.67,0.65
0,0.68,1.01,1.04,0.45,0.0,0.45,-0.87,0.06,1.0,0.85,1.35,1.23,1.41,1.11,1.29,1.28,1.21,0.28,1.0,1.37,0.0,-0.53,-0.24,0.56,33.73,-0.86,0.82,0.76,1.19,0.01,-0.21,-2.39,-1.52,-3.26,-2.52,-2.79,-0.56,-0.47,-0.39,0.32,0.26,-1.09,0.0,-0.43,0.2,0
0,0.24,0.24,0.03,0.29,2.21,-0.12,0.76,1.25,-0.32,-0.03,0.15,-0.16,-0.58,0.67,0.68,-0.67,0.49,0.16,1.6,0.12,-0.39,0.42,0.42,-0.08,-1.13,-0.18,-0.23,0.2,0.45,0.57,-0.63,0.18,-0.23,-0.58,-0.13,-0.7,-0.51,0.32,0.6,0.58,-0.23,1.57,-0.25,0.91,-0.2,0.2
0,-0.24,-0.47,-1.21,-1.23,10.13,0.04,-1.1,0.03,-0.64,-0.42,-0.71,-0.92,-1.06,-0.87,-0.83,-0.24,-1.24,-0.63,-0.52,-0.49,-0.64,-0.45,-0.49,-0.72,-1.13,0.77,-0.45,0.17,-1.06,-0.74,-0.1,-0.38,0.23,0.63,-0.16,0.64,-1.19,-0.48,0.02,0.17,-0.52,-2.32,0.03,0.1,-0.49,0.1
0,-0.36,-0.02,0.7,1.51,-5.42,0.28,1.34,0.85,0.33,0.29,1.19,0.94,1.41,0.4,0.7,0.43,1.13,0.56,0.47,0.25,1.18,1.32,1.36,0.95,1.12,0.09,1.45,0.16,0.72,0.37,0.74,1.11,1.85,0.62,1.19,2.81,0.85,0.13,0.22,0.33,-0.26,0.47,-0.77,0.8,-0.24,0.35
0,0.44,0.42,0.11,0.72,-3.33,0.4,-0.48,0.57,0.45,0.88,0.37,0.33,1.39,0.6,1.01,0.11,0.49,-0.35,0.57,0.1,-0.47,0.58,1.42,0.89,1.12,2.27,0.26,0.72,-1.25,-0.02,-1.01,-0.35,-0.42,-2.01,-0.57,-1.01,-0.24,0.04,-0.83,0.35,0.4,-2.55,-0.01,0.35,0.44,0.15
0,-0.42,-0.54,-0.71,-0.75,3.05,-0.12,-3.08,-1.48,-0.61,-0.65,-0.32,-0.67,-0.5,-1.26,-0.6,0.25,-1.81,-0.44,-1.17,-0.6,0.5,-0.86,-0.83,-0.54,0.67,0.09,-0.02,0.49,1.83,1.46,0.92,0.91,0.76,2.14,1.23,1.23,0.22,-0.01,0.27,-0.08,-0.13,0.73,-0.54,-0.01,-0.1,0.7
0,-0.28,-0.19,0.06,-0.35,6.69,-0.12,0.59,-0.02,0.16,0.7,0.96,0.67,0.52,0.96,-0.05,0.45,0.7,0.64,0.8,0.5,0.4,0.44,0.62,-0.01,0.89,0.48,1.32,0.81,-0.68,-0.19,0.31,0.16,-0.41,-0.02,0.22,-0.53,-0.1,0.05,0.11,0.56,0.69,0.39,0.85,0.93,0.77,0.4
0,0.8,0.82,0.55,0.25,-7.3,0.38,0.87,1.5,-0.09,0.34,0.72,0.03,0.25,0.16,0.02,-0.06,1.22,0.2,0.03,-0.06,0.15,0.15,0.11,0.2,0.89,0.65,-1.06,0.46,-0.1,0.29,0.69,0.41,0.69,-0.39,0.4,1.52,0.33,0.06,1.09,0.24,1.65,0.18,0.64,0.35,1.55,0.4
0,-0.92,-0.46,0.13,-1.21,-0.39,-0.18,-1.44,-0.85,0.88,0.26,0.33,0.65,0.81,0.23,0.53,0.13,-0.23,0.74,0.77,0.54,1.53,0.45,0.16,0.64,0.87,0.35,-0.1,-0.41,0.42,0.22,-0.17,-0.19,-0.32,-0.23,-0.16,-0.09,0.03,0.0,-0.11,0.62,1.02,-0.11,0.07,0.31,0.79,0.2
0,0.78,0.6,0.78,1.72,-3.84,0.23,-0.14,-0.12,0.33,-0.05,0.52,0.39,0.26,0.5,0.69,0.17,0.39,0.62,0.19,0.02,0.73,0.61,0.79,-0.06,0.87,1.27,-0.23,0.42,0.25,0.03,-0.13,-0.58,-0.39,-0.59,-0.6,-0.43,-0.37,0.45,-0.27,0.15,0.23,0.31,-0.31,-0.01,0.22,0
0,0.41,0.17,-0.4,0.46,-6.54,0.49,0.97,-0.04,0.11,0.04,0.53,0.32,-0.05,0.48,1.3,-0.19,0.05,0.22,0.81,-0.55,-1.14,-0.74,-1.24,0.14,0.44,0.21,0.04,0.05,0.33,0.15,-0.16,0.99,0.21,2.0,1.28,1.07,-0.3,0.53,0.14,0.1,-0.39,0.9,-0.32,-0.12,-0.35,0.25
0,-0.3,-0.09,0.16,-0.54,3.53,-0.19,0.17,-0.42,-0.1,0.13,-0.06,0.06,0.52,-0.15,0.54,1.1,0.34,0.32,0.14,0.18,0.97,0.78,0.5,0.03,-0.66,-0.15,-0.4,-0.15,0.2,0.09,0.39,-0.09,0.03,-0.3,-0.19,-0.03,-0.7,0.33,-0.68,-1.14,0.23,-0.38,-0.77,0.3,0.12,0.1
0,0.46,0.1,-0.49,0.19,0.42,0.29,-0.66,0.42,0.16,0.4,0.1,0.26,0.43,0.37,0.24,0.41,0.02,0.29,0.69,0.38,-0.06,0.71,0.33,0.12,-0.66,0.34,1.07,0.91,0.53,0.44,-0.68,0.24,-0.11,-0.26,0.2,0.05,-0.32,0.28,-0.34,0.0,0.28,0.25,0.03,0.19,0.13,0.2
