'MAY4','US30','US500','USTech100','SmallCap2000','S&P500VIX','DAX','CAC40','FTSE100','EuroStoxx50','FTSEMIB','SMI','IBEX35','ATX','WIG20','AEX','iBovespa','Nikkei225','TOPIX','HangSeng','ChinaH-Shares','CSI300','ChinaA50','S&P/ASX200','SingaporeMSCI','BankNIFTY','KOSPI200','SGXFTSETaiwanF','SouthAfrica40','TecDAX','Nifty50',Nifty50
0,0.36,0.43,0.56,0.45,-1.26,0.47,-0.35,0.2,0.25,0.42,0.57,-0.4,0.84,-0.33,-0.41,-0.06,-0.11,0.16,-0.14,-0.43,-0.9,0.49,0.4,0.52,0.75,-0.46,0.07,-0.04,0.03,0.18,0.6
0,0.27,0.34,0.55,0.35,-0.66,-0.02,0.13,-0.08,0.22,0.36,0.75,0.11,1.2,0.05,0.68,1.13,0.88,0.29,1.58,1.5,-0.27,3.86,0.65,0.56,-0.72,1.26,0.17,0.64,0.0,0.37,0.3
0,0.35,0.37,0.33,0.5,-2.28,-0.08,0.24,-0.01,-0.05,0.07,0.5,0.0,0.0,0.42,0.16,-0.78,0.08,0.58,0.48,0.66,-0.27,-0.57,-0.02,-0.66,0.03,-0.36,-0.07,0.27,0.5,0.87,0.15
0,-0.08,-0.26,-0.49,-0.26,1.56,-0.45,0.36,0.07,-0.12,0.44,-0.01,0.28,0.0,0.88,-0.54,0.62,-0.15,-0.5,-0.53,0.15,0.05,-0.12,0.1,1.11,1.09,-0.19,-0.15,0.42,-0.46,0.62,0.55
0,0.53,0.39,0.35,0.56,-0.25,0.45,0.6,0.22,0.54,0.24,0.38,0.28,0.0,0.82,0.57,0.49,1.93,0.75,-0.52,-0.31,0.05,-0.72,0.68,0.84,-0.08,0.89,1.59,0.96,-0.01,0.87,0
0,0.52,0.44,0.41,0.49,-3.21,1.32,0.85,0.94,1.14,1.17,0.84,0.61,0.0,1.03,1.52,0.45,-0.2,0.18,1.43,1.57,0.24,0.05,0.81,0.86,-0.4,0.56,0.36,1.52,-0.01,0.31,-0.3
0,-0.14,-0.17,-0.22,0.0,0.93,-0.04,-0.1,-0.52,-0.07,0.07,0.01,-0.01,0.0,0.27,-0.16,0.82,0.36,0.7,-0.85,-0.96,-0.9,-0.4,0.26,0.14,0.67,0.92,-0.28,-1.28,-0.04,0.68,0.15
0,-0.15,0.0,0.11,0.01,0.53,-0.17,0.11,0.02,-0.07,0.05,0.36,-0.1,0.0,-0.62,0.1,0.38,0.04,0.55,-0.22,-0.39,-0.03,-0.95,0.28,0.09,-1.09,-0.16,-0.2,0.11,-0.38,-0.14,0.15,0.35,0.35
0,0.06,-0.01,-0.08,0.06,0.16,-0.04,0.38,0.59,0.1,0.04,0.25,0.57,0.0,-0.27,-0.02,0.27,-0.22,-0.05,0.71,0.7,0.16,-1.22,0.07,-0.28,-0.4,0.75,0.1,-0.14,0.15,0.39,0.05
0,0.06,0.09,0.26,-0.03,-0.42,0.22,0.11,0.37,0.27,-0.47,0.02,-0.23,1.21,0.57,0.38,-0.42,0.4,-0.09,0.38,-0.34,-0.76,-0.06,0.63,-0.51,-0.31,0.06,-0.03,0.82,1.2,0.06,0.35
0,0.04,0.1,0.12,-0.02,-0.4,0.4,0.37,-0.73,0.22,-0.75,0.32,-1.3,0.0,0.41,0.23,0.55,0.88,0.52,-0.7,-1.03,0.0,-0.84,0.25,1.31,0.78,0.27,0.08,-0.72,0.06,0.34,-0.15,0.4,-1,0.6
0,-0.05,-0.07,-0.33,-0.23,1.28,-0.57,-0.44,-0.1,-0.56,-0.81,-0.65,-0.28,0.45,-0.27,-0.31,1.08,-0.12,0.43,-1.21,-0.89,-0.02,0.21,-0.21,-1.18,0.24,0.71,-0.39,-0.77,0.14,0.81,0.55
0,0.13,0.06,0.07,0.02,-0.51,-0.45,-0.37,-0.05,-0.33,-0.12,-0.32,-0.14,0.0,-0.05,0.14,-0.11,0.04,-0.45,1.91,1.91,0.38,0.13,-0.81,0.48,0.03,0.57,-0.02,0.59,-0.31,0.13,0.3
0,0.49,0.46,0.59,0.5,-1.96,0.6,1.02,0.11,0.81,0.82,0.34,1.1,0.0,0.64,0.85,-0.49,0.2,0.57,0.36,0.25,0.38,0.8,0.4,-0.03,0.97,0.42,0.2,0.71,0.56,0.96,0.3
0,0.29,0.11,0.2,0.1,-0.26,-0.23,-0.21,-0.05,-0.18,0.12,-0.12,-0.33,0.0,-0.04,0.14,0.83,0.65,0.1,1.48,1.91,0.23,1.68,-0.29,0.13,1.51,0.46,-0.02,0.15,0.2,0.7,0.35
0,-0.04,0.06,0.25,-0.24,-0.18,-0.13,-0.33,-0.65,-0.35,-0.47,0.21,-1.35,-0.13,-0.4,-0.14,-1.72,-0.15,-0.23,0.0,0.05,1.96,0.0,-0.04,0.0,0.15,-0.19,0.03,-0.26,0.13,-0.08,0
0,0.28,0.23,0.12,0.42,-0.97,0.84,0.83,0.95,0.75,0.91,0.18,1.04,0.0,0.11,0.81,-0.6,-0.22,-0.09,-1.43,0.03,0.39,-0.44,-0.27,-0.07,-0.06,-0.67,0.1,0.22,-0.07,-0.2,0.45
0,0.02,-0.04,-0.09,0.07,-0.52,-0.12,-0.04,0.06,-0.06,0.19,-0.34,0.14,-0.04,0.27,-0.02,1.76,-0.66,-0.15,-0.83,-0.97,-2.04,-0.21,-0.04,0.23,1.1,0.59,0.23,-0.45,0.0,0.74,-0.1,0,0.15
0,-0.06,-0.12,-0.07,-0.18,-0.3,-0.13,-0.22,0.11,-0.17,-0.27,-0.22,-0.64,0.0,0.18,-0.14,2.15,0.54,0.2,1.4,1.15,1.17,0.43,-0.31,1.08,1.14,0.72,-0.03,0.09,-0.77,0.7,0
0,-0.19,0.01,0.43,-0.44,1.07,-0.5,-0.18,0.13,-0.27,-0.55,0.2,-0.88,-0.64,0.56,-0.54,0.05,-0.99,-0.89,0.92,1.07,-1.06,2.13,-0.06,-0.94,0.79,0.6,-0.05,-0.22,-0.44,0.62,0.2
0,0.16,0.12,0.1,0.52,-1.6,0.36,0.0,0.62,0.25,0.48,0.38,0.54,0.28,0.0,-0.43,-0.79,-0.54,0.35,0.04,-0.27,-1.06,-1.33,0.37,0.61,-0.44,-0.49,-0.05,-0.68,-0.12,0.08,-1
0,0.76,0.6,0.53,0.91,-6.54,0.85,1.18,1.07,1.12,0.63,0.83,0.83,1.21,0.6,0.65,-0.99,-0.24,0.84,-0.86,-0.93,-0.39,0.22,0.77,0.9,-1.55,-0.19,0.15,0.93,0.69,-0.54,0.65
0,-0.39,-0.31,-0.22,-1.02,4.37,-0.97,-0.76,-0.91,-0.86,-1.01,-0.52,-0.92,0.0,-1.13,-1.01,0.93,-0.46,-0.72,-4.4,-4.55,-3.63,-5.39,-0.26,-1.01,-0.31,0.04,-0.41,-1.15,-0.19,-0.26,0.1
0,-0.1,0.03,0.02,0.41,-0.65,-0.06,0.55,0.08,0.49,0.45,0.04,0.55,0.0,0.82,0.63,-1.14,-0.85,0.59,1.23,2.06,-3.63,3.19,-0.24,-1.0,-0.74,0.12,0.34,0.51,0.18,0.03,0.35
0,0.25,0.07,-0.12,0.46,-0.29,0.35,0.73,0.55,0.32,0.58,0.15,0.73,0.79,0.99,0.66,1.33,1.24,0.19,3.24,3.56,-0.57,0.37,0.58,0.31,0.51,0.17,1.78,1.6,0.37,0.81,0.15
0,-0.35,-0.73,-1.17,-0.6,5.69,-0.66,-0.22,-0.92,-0.6,-0.32,-0.03,-0.78,0.0,-0.65,-0.38,-0.69,-1.35,-0.91,-1.1,-1.85,-0.57,-2.71,-0.51,-0.96,-0.49,-1.16,0.33,-1.28,-0.52,-0.06,0.7
0,0.36,0.32,0.2,0.3,-2.69,0.44,0.81,0.25,0.01,0.07,0.34,0.04,0.0,0.54,-0.04,0.75,-0.57,0.05,-0.24,-0.28,2.58,0.72,0.19,-0.33,0.68,0.9,-0.02,-0.2,0.12,1.02,0.4
0,-0.1,-0.07,0.04,-0.19,1.15,0.62,0.54,0.37,0.66,0.4,-0.02,-0.19,0.67,1.17,0.8,0.27,-0.05,-0.52,1.18,1.2,2.58,-0.5,0.15,1.7,2.33,1.37,-0.11,0.33,1.06,0.8,0.2
0,0.05,0.13,0.11,0.08,-0.9,0.31,0.5,0.16,0.45,0.33,0.2,0.12,0.0,-0.22,0.64,-1.12,0.44,0.7,-0.9,-1.42,0.51,-0.37,0.35,-0.28,-0.23,-0.23,-0.18,-0.16,0.75,0.51,0
0,0.03,0.02,-0.11,0.07,-0.43,0.17,0.1,0.03,0.16,0.52,-0.01,-0.05,0.71,-0.22,0.09,-0.77,0.57,-0.18,0.15,0.19,0.51,0.07,0.27,0.06,-0.25,-0.38,0.13,0.51,0.0,-0.21,0.25
0,-0.28,-0.19,0.01,-0.59,1.32,-0.23,-0.07,-0.39,-0.02,0.37,0.67,-0.08,0.0,0.09,0.36,1.66,-0.4,0.16,0.84,0.37,-0.42,1.72,-0.39,-0.12,0.39,-0.36,0.02,0.23,0.63,0.04,0.1
0,-0.06,-0.01,0.12,-0.13,-0.67,0.08,0.01,-0.27,0.07,0.05,0.24,-0.15,0.0,-0.18,0.4,-0.15,-0.13,-0.1,0.86,1.68,1.35,2.1,-0.03,1.49,-0.03,-0.69,0.07,0.98,0.85,0.14,0.2
0,0.03,-0.14,-0.33,-0.15,1.4,0.01,0.29,0.43,0.1,0.38,0.3,0.38,-0.28,-0.18,-0.03,-0.3,0.91,0.62,0.27,0.62,1.35,-0.52,0.2,-1.25,-0.61,-0.93,-0.13,0.02,-0.14,0.08
0,0.11,0.01,-0.1,0.15,0.72,0.11,0.15,0.33,0.26,0.27,0.18,0.21,0.0,0.09,0.21,-0.27,-0.11,-0.48,-0.56,-0.89,-0.4,-1.14,0.09,0.41,0.2,-0.39,0.1,-0.6,-0.2,0.45,0.1
0,0.13,0.06,0.02,-0.18,-0.9,1.04,0.31,0.27,0.2,0.3,0.51,0.21,0.0,0.0,-0.05,-1.13,0.08,-0.1,-0.34,-0.73,-0.4,0.19,0.4,-0.19,0.38,-1.71,0.03,0.26,0.42,1.02,0
0,-0.28,-0.24,-0.22,-0.43,2.54,-0.55,-0.88,-0.81,-0.67,-0.49,-0.4,-0.59,-0.5,-0.09,-0.58,0.39,-1.02,-1.1,-0.97,-1.03,-0.55,-0.03,-0.5,-0.51,-0.17,0.0,0.12,-0.78,-0.12,0.35,-0.1
0,-0.36,-0.39,-0.34,-0.97,2.17,-0.43,-0.41,0.05,-0.19,-0.7,-0.17,-0.73,0.0,0.27,-0.15,-1.42,-0.37,-0.79,-1.69,-2.21,-0.55,-2.61,-1.0,-1.19,-1.02,-1.05,-0.21,0.71,-0.2,-0.14,0.45
0,-0.18,-0.08,-0.07,-0.1,0.55,-0.08,-0.36,-0.23,-0.21,-0.01,0.24,0.0,0.93,-0.57,-0.13,0.0,0.64,0.08,0.28,0.96,-1.95,1.14,0.12,0.65,-0.49,0.32,-0.24,-0.62,0.36,-0.06,-1.1
0,-0.5,-0.46,-0.33,-0.5,2.03,-0.37,-0.33,-0.07,-0.1,-0.41,-0.4,-0.06,0.28,-0.13,-0.11,0.99,-0.98,-1.0,-1.62,-1.67,-0.54,-3.08,-0.55,0.88,-1.42,-0.98,0.23,0.24,-0.16,-0.74,0.85
0,0.29,0.24,0.29,0.83,-1.7,0.28,0.71,0.2,0.56,0.22,0.23,-0.13,0.0,0.63,0.4,0.67,0.82,1.0,0.37,1.03,-2.23,0.29,-0.16,-1.19,0.27,1.06,-0.17,1.44,0.19,0.91,0.25
0,0.33,0.35,0.18,0.62,-1.3,0.38,1.11,0.94,1.23,0.95,0.15,2.09,0.51,0.6,0.49,-1.19,1.29,1.38,0.56,1.02,-0.66,2.11,0.52,1.07,0.65,0.07,-0.07,0.07,0.31,-0.09,0.1
0,0.21,0.2,0.26,0.08,-1.49,0.59,0.65,0.56,0.86,0.53,0.44,0.24,0.0,0.68,0.97,-0.19,3.05,1.54,0.86,0.79,1.72,1.41,0.61,1.25,-0.4,0.24,0.26,0.19,0.57,0.46,0.15
0,-0.01,-0.06,-0.14,-0.19,2.17,-0.26,-0.11,-0.36,-0.27,-0.38,0.2,-0.24,0.25,-0.5,-0.36,1.29,-0.79,-1.37,0.46,0.68,1.72,0.71,-0.27,-0.38,-0.48,-0.39,-0.16,0.47,0.93,-0.15,0.1
0,-0.2,-0.16,-0.13,-0.25,3.44,-1.2,-0.91,-1.04,-0.97,-0.63,-1.22,-0.59,0.0,-0.89,-0.71,1.29,0.09,0.1,0.11,0.14,1.72,-0.87,-0.27,-1.34,0.56,-0.96,-0.56,-0.99,-0.77,-0.04,-0.24,0
0,0.41,0.44,0.39,0.47,-3.04,0.74,0.18,0.53,0.65,-0.9,0.43,0.45,0.0,0.62,0.35,-1.89,1.65,1.72,-0.7,-1.45,1.37,-0.03,0.54,-0.62,-0.38,0.37,0.18,0.51,-0.55,-0.05,0.35
0,0.15,0.14,0.04,0.31,0.69,0.8,-0.75,-0.67,-0.16,0.62,0.23,0.05,0.0,0.17,0.04,1.75,0.01,-0.04,-1.36,-1.93,-0.8,-1.7,0.1,0.62,0.38,0.71,-0.13,-0.89,-1.5,0.21,0.05
0,-0.05,-0.1,-0.23,-0.15,0.87,-0.15,0.87,-0.18,0.69,-0.35,-0.38,0.57,0.29,0.13,0.39,-1.06,-0.57,-0.42,-1.8,-1.63,-1.19,-0.66,0.32,0.35,2.17,-0.94,-0.03,-0.72,0.58,0.46,0.5
0,-0.14,-0.19,-0.2,-0.33,1.04,-0.42,0.13,-0.42,0.24,-1.56,-0.44,0.76,0.12,-0.17,-0.13,-0.96,0.16,-0.18,0.82,1.47,-1.19,1.02,-1.16,0.73,0.05,0.4,-0.07,-0.33,1.54,0.01,-0.8,0.3
0,0.38,0.2,-0.17,0.35,-0.45,0.91,0.62,0.22,0.65,0.58,-0.32,1.3,0.0,0.26,0.24,-0.4,0.06,-0.1,0.01,-0.27,0.0,2.55,0.33,1.78,0.88,0.35,-0.13,0.29,-0.15,0.29,0.25
0,-0.33,-0.69,-1.3,-0.18,5.68,-0.6,-1.41,-0.48,-1.53,-0.95,-2.54,-1.03,-0.85,-0.11,-1.37,-0.1,-0.9,-1.04,0.98,1.48,0.47,-0.05,-1.45,-1.32,-0.85,-1.41,-0.43,-0.16,-3.47,-0.42,-0.5
0,-0.65,-0.61,-0.51,-0.97,3.07,-1.51,-0.6,-0.6,-1.3,-0.69,-1.44,-0.71,0.0,-0.35,-0.51,-0.39,-1.62,-1.48,0.32,0.3,-0.5,-1.94,-0.7,-0.99,-1.03,-1.97,-0.14,-1.23,-0.95,-0.61,0.5
0,-0.27,-0.32,-0.5,-0.04,1.07,0.12,0.07,-0.33,0.22,-0.05,0.4,0.61,0.0,0.17,-0.15,2.13,-2.52,-1.62,-2.03,-2.08,0.0,-0.77,0.53,0.76,1.06,-1.97,0.21,0.31,-0.27,1.06,-0.15
0,0.35,0.42,0.57,0.42,-1.81,0.25,0.93,0.64,0.88,1.31,0.31,0.69,0.0,0.56,1.15,-2.36,-0.64,0.86,0.4,0.02,0.0,-0.43,0.77,-0.96,0.38,-1.23,0.09,0.33,-0.25,0.72,0.2
0,-1.14,-1.42,-1.59,-1.62,6.65,-2.44,-2.25,-1.83,-2.33,-2.28,-1.8,-2.08,-1.34,-1.27,-2.53,-0.11,-2.33,-2.7,-0.87,-1.45,0.0,-0.45,-1.94,0.4,-0.72,-1.63,-0.78,-1.86,-2.27,-1.17,0.9
0,0.44,0.57,0.9,0.65,-1.35,0.6,1.26,1.02,1.44,0.93,1.02,1.7,0.33,-0.36,1.16,0.47,1.69,0.12,2.71,3.08,0.0,2.07,0.31,0.88,0.7,1.52,0.09,0.74,-2.05,0.97,0.5
